feature,importance
P6920,0.466312
requirio_atencion_medica,0.18602666
P6250,0.06143662
P6430,0.050318953
P6100,0.04586558
P6240,0.042335853
P6585S1,0.031605072
P6110,0.030989286
P6160,0.012281245
nivel_gasto_salud,0.011378669
P6585S2,0.007939239
P5020,0.0041461606
DPTO,0.0038274727
es_formal,0.0038000124
P6050,0.0035993424
P5090,0.0033435689
edad_grupo,0.0033015534
P6090,0.0030396974
P6040,0.0029729602
P6080,0.002949135
P6170,0.0029080177
AREA,0.0026829522
P5000,0.0025992773
P5080,0.0025148508
P6585S3,0.0024022614
hacinamiento_cat,0.0019914869
P5030,0.0016976551
P5070,0.0015912286
P6016,0.0012574522
P5010,0.001048441
nivel_gasto_energia,0.00097567565
P5040,0.00086162024
servicios_score,0.0
tiene_recoleccion,0.0
tiene_energia,0.0
estado_recoleccion,0.0
log_gasto_salud,0.0
