number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9048617222331881,2025-10-16 23:39:23.859555,2025-10-16 23:39:27.686040,0 days 00:00:03.826485,0.9342419272387341,0.6970636484046216,0.2242819651133254,8,6,118,2.325225563130716,1.9255377105311466,0.6515229465885833,COMPLETE
1,0.8957336610263958,2025-10-16 23:39:27.718071,2025-10-16 23:39:31.103734,0 days 00:00:03.385663,0.7718069716907889,1.1205754052775707,0.012065323884285769,6,3,151,5.1028396548864565,5.354450630634701,0.9111124835285682,COMPLETE
2,0.8997765858817417,2025-10-16 23:39:31.128550,2025-10-16 23:39:33.081238,0 days 00:00:01.952688,0.9126596075900234,2.868178250582878,0.02004025759426568,10,6,52,1.0987296958629234,6.109336391923771,0.6890964179105178,COMPLETE
3,0.9068727303878104,2025-10-16 23:39:33.108603,2025-10-16 23:39:36.616672,0 days 00:00:03.508069,0.7601137330844671,2.6637277048288572,0.2690399238338525,5,7,208,2.7605940932807513,0.1543238500255073,0.7276397636114336,COMPLETE
4,0.9080441444093517,2025-10-16 23:39:36.645104,2025-10-16 23:39:40.905736,0 days 00:00:04.260632,0.9350189046809516,0.5271891856112015,0.0757940323482431,6,5,232,8.402421971198539,2.591878979932255,0.834327305547961,COMPLETE
5,0.9074605256029722,2025-10-16 23:39:40.929810,2025-10-16 23:39:43.699119,0 days 00:00:02.769309,0.9596864329230672,4.362382572838165,0.0982101382694295,7,1,146,4.730859298288729,8.51575741409907,0.938287037454051,COMPLETE
6,0.9077356338483782,2025-10-16 23:39:43.722665,2025-10-16 23:39:47.367265,0 days 00:00:03.644600,0.8338881104391389,2.663311694519239,0.23063764054771208,8,2,277,7.861464266086633,8.39498746279935,0.8796520024380821,COMPLETE
7,0.9065095722242743,2025-10-16 23:39:47.394590,2025-10-16 23:39:51.232943,0 days 00:00:03.838353,0.6595647734447082,2.4693912971001772,0.11777007101939545,10,3,150,1.8997335930884796,0.873622810443303,0.6500279118134915,COMPLETE
8,0.9051657538633104,2025-10-16 23:39:51.258283,2025-10-16 23:39:53.924590,0 days 00:00:02.666307,0.653767199263018,2.1847697655013154,0.10164916888238239,3,4,187,4.153927202230139,2.8225350033392935,0.6325827462299426,COMPLETE
9,0.9051785498510906,2025-10-16 23:39:53.949013,2025-10-16 23:39:57.996536,0 days 00:00:04.047523,0.8730222603772733,4.739926880076003,0.24856819773934846,9,3,268,0.2562907905216194,5.370715863353221,0.6189253399091202,COMPLETE
10,0.9077845735387052,2025-10-16 23:39:58.023933,2025-10-16 23:40:01.562107,0 days 00:00:03.538174,0.9885313417493959,0.30123650777951133,0.1680699189981097,4,10,230,9.890352072275059,3.3829200033367792,0.8125264095201497,COMPLETE
11,0.9077712431271857,2025-10-16 23:40:01.585723,2025-10-16 23:40:05.427419,0 days 00:00:03.841696,0.9991498081892786,0.27475652375936455,0.1700092222167925,4,10,234,9.895962781136745,3.6095873925847486,0.8080235093300654,COMPLETE
12,0.9078361380101898,2025-10-16 23:40:05.462529,2025-10-16 23:40:09.684937,0 days 00:00:04.222408,0.9941193983056952,1.3709768053003262,0.16427830581421135,5,9,236,9.574425317351041,3.427880688946744,0.8111976841414206,COMPLETE
13,0.9078724417185136,2025-10-16 23:40:09.712308,2025-10-16 23:40:14.513620,0 days 00:00:04.801312,0.8845680869946244,1.4273374997370314,0.0611993133528515,6,9,295,7.7123514300270415,1.9478835418662106,0.9948566266123336,COMPLETE
14,0.9079385564466229,2025-10-16 23:40:14.538458,2025-10-16 23:40:21.065156,0 days 00:00:06.526698,0.8714626097591697,1.5475196670673657,0.05882829019796242,6,8,298,7.318753674660791,1.4218014483621997,0.9738878284040784,COMPLETE
15,0.9073774068795272,2025-10-16 23:40:21.091247,2025-10-16 23:40:26.723824,0 days 00:00:05.632577,0.8283245918745223,3.7110613497893796,0.06003779373447062,7,8,266,7.104063444172319,1.393204552585027,0.9907258539320067,COMPLETE
16,0.9076845210097204,2025-10-16 23:40:26.751769,2025-10-16 23:40:32.867607,0 days 00:00:06.115838,0.7232210916341874,1.8516371408222172,0.056582610994450874,5,5,297,6.527415191944543,6.549255821746218,0.8692276286068619,COMPLETE
17,0.907119463605629,2025-10-16 23:40:32.892074,2025-10-16 23:40:37.385941,0 days 00:00:04.493867,0.8682859232116321,0.6712191665766215,0.12357942288816716,8,7,197,8.303070896112565,4.085459611416072,0.7390641404220113,COMPLETE
18,0.9071549995361412,2025-10-16 23:40:37.414007,2025-10-16 23:40:41.980087,0 days 00:00:04.566080,0.9318208171579155,0.010395162398207147,0.04018970927574607,6,5,249,6.302767191551627,0.36914784864780326,0.9530739910771001,COMPLETE
19,0.9078771194629457,2025-10-16 23:40:42.007544,2025-10-16 23:40:45.573742,0 days 00:00:03.566198,0.8202061939856123,3.344209302555397,0.08745120389851212,7,7,213,8.737834348857918,2.4999482088065768,0.8581075161472909,COMPLETE
20,0.9078002370306922,2025-10-16 23:40:45.597969,2025-10-16 23:40:49.393461,0 days 00:00:03.795492,0.6119646548291919,1.9768130075476975,0.14329756961176252,4,8,264,6.206551630698344,9.899322442125598,0.7557948425699789,COMPLETE
21,0.9077935800867657,2025-10-16 23:40:49.420371,2025-10-16 23:40:53.104611,0 days 00:00:03.684240,0.8100197763514502,3.643714357249293,0.0839364394347678,7,7,215,8.778028534315105,2.414653216670644,0.8617730595201027,COMPLETE
22,0.9077913932982178,2025-10-16 23:40:53.132313,2025-10-16 23:40:56.883905,0 days 00:00:03.751592,0.8997076121277089,3.448317909524177,0.07925308903843932,6,8,213,8.399400294244549,1.0455506873258742,0.8414537951691718,COMPLETE
