number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7888903492366571,2025-10-16 17:45:41.302040,2025-10-16 17:45:50.043826,0 days 00:00:08.741786,0.662397808134481,0.2904180608409973,0.1205712628744377,10,6,250,4.330880728874676,3.005575058716044,0.6624074561769746,COMPLETE
1,0.8050522569341254,2025-10-16 17:45:50.044809,2025-10-16 17:45:56.709366,0 days 00:00:06.664557,0.6727299868828402,0.9170225492671691,0.2708160864249968,3,9,383,1.5212112147976886,2.6237821581611893,0.6849356442713105,COMPLETE
2,0.806444795212003,2025-10-16 17:45:56.710196,2025-10-16 17:46:02.627661,0 days 00:00:05.917465,0.7465447373174767,2.28034992108518,0.08012737503998542,5,2,273,3.925879806965068,0.9983689107917987,0.7168578594140873,COMPLETE
3,0.8077493119749012,2025-10-16 17:46:02.628307,2025-10-16 17:46:10.537694,0 days 00:00:07.909387,0.6260206371941118,4.7444276862666666,0.011711509955524094,7,7,306,4.828160165372797,4.041986740582305,0.6682096494749166,COMPLETE
4,0.8068668298457965,2025-10-16 17:46:10.538303,2025-10-16 17:46:13.635396,0 days 00:00:03.097093,0.798070764044508,0.17194260557609198,0.1024932221692416,3,5,222,4.546602010393911,1.2938999080000846,0.6488152939379115,COMPLETE
5,0.8074734426798348,2025-10-16 17:46:13.636019,2025-10-16 17:46:19.478118,0 days 00:00:05.842099,0.9878338511058234,3.8756641168055728,0.05864129169696527,5,6,365,4.697494707820946,4.474136752138244,0.6739417822102108,COMPLETE
6,0.8057544432920888,2025-10-16 17:46:19.478743,2025-10-16 17:46:28.762328,0 days 00:00:09.283585,0.7301321323053057,1.9433864484474102,0.01351182947645082,10,2,339,1.3567451588694794,4.143687545759647,0.6180909155642152,COMPLETE
7,0.8090548428040615,2025-10-16 17:46:28.762968,2025-10-16 17:46:32.666987,0 days 00:00:03.904019,0.6298202574719083,4.9344346830025865,0.06333268775321843,5,2,243,3.861223846483287,0.993578407670862,0.9208787923016158,COMPLETE
8,0.8023580113224438,2025-10-16 17:46:32.667637,2025-10-16 17:46:35.414782,0 days 00:00:02.747145,0.6296178606936361,1.7923286427213632,0.11069143219393454,9,8,102,0.5793452976256486,4.315517129377968,0.9085081386743783,COMPLETE
9,0.804805098097649,2025-10-16 17:46:35.415390,2025-10-16 17:46:41.372902,0 days 00:00:05.957512,0.8918424713352255,3.1877873567760657,0.012413189635294229,5,4,349,4.436063712881633,2.3610746258097466,0.7300733288106989,COMPLETE
10,0.8072652507008522,2025-10-16 17:46:41.373625,2025-10-16 17:46:48.257995,0 days 00:00:06.884370,0.876098829427658,4.865188803848124,0.029323105618991638,7,1,478,3.1204176358618265,0.1989980303850739,0.9924283304357215,COMPLETE
11,0.8082742910283165,2025-10-16 17:46:48.258601,2025-10-16 17:46:52.475663,0 days 00:00:04.217062,0.6123850196223547,4.847256739455992,0.02986829042381973,7,8,161,3.035921370166128,3.4404944900652925,0.8250122810664506,COMPLETE
12,0.8080208191209285,2025-10-16 17:46:52.476492,2025-10-16 17:46:56.508567,0 days 00:00:04.032075,0.7097939893129923,3.8596200619003547,0.02919918721990932,8,10,157,2.91808882918833,3.275343673970327,0.8436295453734978,COMPLETE
13,0.8082994633041615,2025-10-16 17:46:56.522916,2025-10-16 17:47:00.575089,0 days 00:00:04.052173,0.6102197979242173,4.060996943297696,0.030185991625494592,6,4,191,3.4411475597509966,1.7872520000485161,0.8308281611538476,COMPLETE
14,0.806974323406121,2025-10-16 17:47:00.575708,2025-10-16 17:47:04.000719,0 days 00:00:03.425011,0.8042199344989954,3.960742123530463,0.04470506907065592,4,4,204,3.6376088371857285,1.6042508930990853,0.9081970380676775,COMPLETE
15,0.8049086541162623,2025-10-16 17:47:04.001383,2025-10-16 17:47:07.770560,0 days 00:00:03.769177,0.6814841519346935,3.1677129558918242,0.020560619016371625,6,3,164,2.0344186635283585,0.2266580834209,0.912415457654784,COMPLETE
16,0.8059566242504927,2025-10-16 17:47:07.771198,2025-10-16 17:47:09.665003,0 days 00:00:01.893805,0.6048965656537085,4.176728731779257,0.20805757599000094,6,1,101,3.634823758940222,1.844932966665929,0.9814532692105566,COMPLETE
17,0.8069226123843461,2025-10-16 17:47:09.665636,2025-10-16 17:47:12.805055,0 days 00:00:03.139419,0.774439933428912,3.1370991330748383,0.047278746663206896,4,3,210,2.093317205140088,0.8754252028965446,0.78652409637907,COMPLETE
18,0.806472774879337,2025-10-16 17:47:12.805693,2025-10-16 17:47:21.856624,0 days 00:00:09.050931,0.8624175337686145,4.426593829524638,0.020038260312712834,8,4,450,2.6782821266151595,2.065403663455486,0.8680766792057546,COMPLETE
19,0.8045610644861275,2025-10-16 17:47:21.857360,2025-10-16 17:47:25.932139,0 days 00:00:04.074779,0.9895523192126989,3.535055864360589,0.16312735784737625,4,2,290,3.515453705800767,0.6926542277334111,0.7741970929216844,COMPLETE
20,0.8062598794973471,2025-10-16 17:47:25.932817,2025-10-16 17:47:31.698443,0 days 00:00:05.765626,0.6513205325927907,2.5451841790206635,0.06851799283272716,6,5,417,0.058104808137766195,4.969213925248543,0.9535886231714799,COMPLETE
21,0.8087594440220016,2025-10-16 17:47:31.699095,2025-10-16 17:47:35.048625,0 days 00:00:03.349530,0.6047101671555977,4.963638419026972,0.03611417528617361,7,8,155,3.1833044481901434,3.2372891969443445,0.839053378728778,COMPLETE
22,0.8082708444179505,2025-10-16 17:47:35.049249,2025-10-16 17:47:38.651079,0 days 00:00:03.601830,0.6997735240645564,4.4237872915570815,0.038122523815683075,8,7,143,4.047199485906856,2.5881803554560685,0.8674693974382139,COMPLETE
23,0.8088558802705136,2025-10-16 17:47:38.651699,2025-10-16 17:47:43.053245,0 days 00:00:04.401546,0.6423859202160196,4.98416598204146,0.03534741435201358,6,3,237,3.3245462364655127,1.4024196808290217,0.8158483046883896,COMPLETE
24,0.8059232424669602,2025-10-16 17:47:43.053906,2025-10-16 17:47:47.356585,0 days 00:00:04.302679,0.651532927888845,4.918120611121693,0.01890771355170673,5,10,253,4.125726566796495,1.306912799003801,0.7472730313022558,COMPLETE
25,0.8058886659253371,2025-10-16 17:47:47.357207,2025-10-16 17:47:51.077275,0 days 00:00:03.720068,0.600150188635984,4.353995428590378,0.07835713360419241,7,3,236,2.4276814922811383,0.5475970661684968,0.9398770580467641,COMPLETE
26,0.8058056572640581,2025-10-16 17:47:51.077918,2025-10-16 17:47:56.848451,0 days 00:00:05.770533,0.6445868938447067,4.483257020242747,0.03862815210163641,9,1,306,3.1786221585156347,3.6689471334488326,0.8742188710580823,COMPLETE
27,0.8078471478971284,2025-10-16 17:47:56.849110,2025-10-16 17:48:00.630927,0 days 00:00:03.781817,0.6901263857185019,3.476797302829119,0.05680227215213967,6,8,186,2.4425317289731328,2.8886146711506155,0.7939705278723597,COMPLETE
28,0.8025192165715987,2025-10-16 17:48:00.631559,2025-10-16 17:48:03.015600,0 days 00:00:02.384041,0.7402333694415594,4.985102240528951,0.02382697420741784,5,2,124,3.7763678338601316,2.239748428593979,0.8096887781648483,COMPLETE
29,0.8084904643728358,2025-10-16 17:48:03.016229,2025-10-16 17:48:06.721546,0 days 00:00:03.705317,0.6586970268339566,2.6928165438636906,0.08853874505145645,4,6,258,4.269058490618017,1.421585777238811,0.8882235543165372,COMPLETE
30,0.790398908561321,2025-10-16 17:48:06.722329,2025-10-16 17:48:12.118892,0 days 00:00:05.396563,0.928105658304223,0.6155467087603381,0.13488959138550227,9,9,241,3.326850755216772,3.102926227247425,0.9415025604559947,COMPLETE
31,0.8081935653311828,2025-10-16 17:48:12.119515,2025-10-16 17:48:15.763713,0 days 00:00:03.644198,0.6695336658937764,1.4358788228703472,0.08990106330704283,4,6,262,4.260741278503519,1.3546881614213195,0.8940103812590436,COMPLETE
